"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"bo_q1","~~","bo_q1","",0.296340103848289,0.02865516918981,10.3415932352502,0,0.24017700426536,0.352503203431219,0.296340103848289,0.282226661853631,0.282226661853631
"bo_q2","~~","bo_q2","",0.299727245069798,0.0283395271066876,10.5762966312542,0,0.244182792601794,0.355271697537803,0.299727245069798,0.299422016456802,0.299422016456802
"bo_q3","~~","bo_q3","",0.299434331167787,0.0289467208292369,10.3443264932914,0,0.242699800871947,0.356168861463627,0.299434331167787,0.282415775493229,0.282415775493229
"bo_q4","~~","bo_q4","",0.309029010832253,0.0291492993432794,10.6015931015337,0,0.251897433944848,0.366160587719658,0.309029010832253,0.301399631954379,0.301399631954379
"bo_q5","~~","bo_q5","",0.313947203420413,0.0285959936658952,10.9787128605655,0,0.257900085733123,0.369994321107703,0.313947203420413,0.33433550782311,0.33433550782311
"turnover_intent","~~","turnover_intent","",0.133120218799544,0.0105770057997655,12.5858131610834,0,0.112389668367732,0.153850769231356,0.133120218799544,0.650703987101535,0.650703987101535
"Job_Satisfaction","~~","Job_Satisfaction","",1,0,NA,NA,1,1,1,1,1
"Burnout","~~","Burnout","",1,0,NA,NA,1,1,0.988798909421868,0.988798909421868,0.988798909421868
"age","~~","age","",68.074906122449,0,NA,NA,68.074906122449,68.074906122449,68.074906122449,1,68.074906122449
"age","~~","gender_num","",-0.0602938775510204,0,NA,NA,-0.0602938775510204,-0.0602938775510204,-0.0602938775510204,-0.0147924868198291,-0.0602938775510204
"age","~~","education_dh","",0.262889795918367,0,NA,NA,0.262889795918367,0.262889795918367,0.262889795918367,0.063734417870564,0.262889795918367
"age","~~","education_ts","",-0.140979591836735,0,NA,NA,-0.140979591836735,-0.140979591836735,-0.140979591836735,-0.0398472512179407,-0.140979591836735
"age","~~","education_tien","",0.0622204081632653,0,NA,NA,0.0622204081632653,0.0622204081632653,0.0622204081632653,0.0273562056187154,0.0622204081632653
"age","~~","tenure_years","",0.18857306122449,0,NA,NA,0.18857306122449,0.18857306122449,0.18857306122449,0.00635374935245565,0.18857306122449
"gender_num","~~","gender_num","",0.244048979591837,0,NA,NA,0.244048979591837,0.244048979591837,0.244048979591837,1,0.244048979591837
"gender_num","~~","education_dh","",-0.0150530612244898,0,NA,NA,-0.0150530612244898,-0.0150530612244898,-0.0150530612244898,-0.0609509037754927,-0.0150530612244898
"gender_num","~~","education_ts","",0.0230204081632653,0,NA,NA,0.0230204081632653,0.0230204081632653,0.0230204081632653,0.108670124863924,0.0230204081632653
"gender_num","~~","education_tien","",0.00210612244897959,0,NA,NA,0.00210612244897959,0.00210612244897959,0.00210612244897959,0.0154654174929885,0.00210612244897959
"gender_num","~~","tenure_years","",-0.0984669387755102,0,NA,NA,-0.0984669387755102,-0.0984669387755102,-0.0984669387755102,-0.0554109876388368,-0.0984669387755102
"education_dh","~~","education_dh","",0.249926530612245,0,NA,NA,0.249926530612245,0.249926530612245,0.249926530612245,1,0.249926530612245
"education_dh","~~","education_ts","",-0.123510204081633,0,NA,NA,-0.123510204081633,-0.123510204081633,-0.123510204081633,-0.576145671697148,-0.123510204081633
"education_dh","~~","education_tien","",-0.0421387755102041,0,NA,NA,-0.0421387755102041,-0.0421387755102041,-0.0421387755102041,-0.305768160432879,-0.0421387755102041
"education_dh","~~","tenure_years","",-0.0689322448979592,0,NA,NA,-0.0689322448979592,-0.0689322448979592,-0.0689322448979592,-0.0383318866041625,-0.0689322448979592
"education_ts","~~","education_ts","",0.183877551020408,0,NA,NA,0.183877551020408,0.183877551020408,0.183877551020408,1,0.183877551020408
"education_ts","~~","education_tien","",-0.0201224489795918,0,NA,NA,-0.0201224489795918,-0.0201224489795918,-0.0201224489795918,-0.170228788619701,-0.0201224489795918
"education_ts","~~","tenure_years","",0.0388244897959184,0,NA,NA,0.0388244897959184,0.0388244897959184,0.0388244897959184,0.0251701239639412,0.0388244897959184
"education_tien","~~","education_tien","",0.0759918367346939,0,NA,NA,0.0759918367346939,0.0759918367346939,0.0759918367346939,1,0.0759918367346939
"education_tien","~~","tenure_years","",-0.0239640816326531,0,NA,NA,-0.0239640816326531,-0.0239640816326531,-0.0239640816326531,-0.0241669182079348,-0.0239640816326531
"tenure_years","~~","tenure_years","",12.9393391020408,0,NA,NA,12.9393391020408,12.9393391020408,12.9393391020408,1,12.9393391020408
"indirect",":=","a*b","indirect",-0.00928034343484985,0.0101022275838445,-0.918643275240695,0.358282188857751,-0.0290803456628122,0.0105196587931126,-0.00928034343484985,-0.0205179407257883,-0.0205179407257883
"total",":=","c_prime+(a*b)","total",-0.197023831347174,0.0240113565999422,-8.20544355863876,2.22044604925031e-16,-0.244085225503009,-0.14996243719134,-0.197023831347174,-0.435600613439414,-0.435600613439414
